iter	Logloss
0	0.6645838284
1	0.6285888149
2	0.5959292107
3	0.5738231479
4	0.5634297289
5	0.5447110941
6	0.5260130353
7	0.5084294747
8	0.4937479537
9	0.4801707954
10	0.4670165329
11	0.4524914846
12	0.4407996623
13	0.4329684098
14	0.4279850928
15	0.4225607244
16	0.4140268375
17	0.4056689629
18	0.3993735043
19	0.3935229796
20	0.3868001548
21	0.3812922071
22	0.3751259498
23	0.3706839282
24	0.3645914142
25	0.3602005525
26	0.3559742334
27	0.3523988293
28	0.3491649302
29	0.3448155031
30	0.3408095339
31	0.3361099441
32	0.3337030751
33	0.331345664
34	0.3260649431
35	0.3216599243
36	0.316547297
37	0.3110516092
38	0.3088165682
39	0.3061864614
40	0.304808368
41	0.3004306819
42	0.2963200581
43	0.2934467746
44	0.2912493982
45	0.2895840912
46	0.2873276545
47	0.2844082265
48	0.2833420748
49	0.2809238344
50	0.2799089752
51	0.2785342496
52	0.2774038242
53	0.275762667
54	0.2736390221
55	0.271294736
56	0.2699723758
57	0.2679070101
58	0.2662747427
59	0.2647117891
60	0.2629209655
61	0.2609146415
62	0.2596997927
63	0.2586358504
64	0.2569495047
65	0.2559647112
66	0.2541680781
67	0.251973422
68	0.249429485
69	0.2462036761
70	0.2459771587
71	0.2444170772
72	0.2415329858
73	0.2404017451
74	0.2400111608
75	0.2387387802
76	0.2373557451
77	0.2360106433
78	0.234586964
79	0.2337231505
80	0.2311523278
81	0.2304351388
82	0.2270132056
83	0.2243679265
84	0.2221625997
85	0.2206512663
86	0.2187815826
87	0.2175602061
88	0.2168878355
89	0.2144670931
90	0.211369717
91	0.2103452419
92	0.2090969496
93	0.2086462047
94	0.2076041477
95	0.2056117987
96	0.2047514849
97	0.2026336801
98	0.2002154093
99	0.1982681596
100	0.1968035522
101	0.1953875181
102	0.1940774028
103	0.1930308496
104	0.1914196593
105	0.1898611547
106	0.189198808
107	0.188084601
108	0.1859390016
109	0.1845354096
110	0.1832912583
111	0.1812651378
112	0.1801828441
113	0.1796117445
114	0.1788393947
115	0.1783613629
116	0.1779887445
117	0.1772800047
118	0.1770428425
119	0.1767145455
120	0.1764333472
121	0.1743573118
122	0.1738152439
123	0.1721461165
124	0.1706739027
125	0.1703918845
126	0.1696057937
127	0.1691979927
128	0.1690571816
129	0.1689588976
130	0.1675672043
131	0.167453039
132	0.1670051028
133	0.165390085
134	0.1647259735
135	0.1636413487
136	0.1630297293
137	0.1629162288
138	0.162760276
139	0.1608867303
140	0.1587033242
141	0.1584774266
142	0.1573995523
143	0.1560978876
144	0.1558875407
145	0.1546573596
146	0.1545021707
147	0.1542117982
148	0.1531073911
149	0.1529132465
150	0.1520729838
151	0.1513597376
152	0.1503856244
153	0.1502887208
154	0.1497410768
155	0.148419989
156	0.1483492737
157	0.1467482339
158	0.1462909654
159	0.146081605
160	0.1459579798
161	0.144889256
162	0.1438151607
163	0.1422639758
164	0.1409529647
165	0.1408836155
166	0.1407551237
167	0.1389422707
168	0.1373385216
169	0.1366129026
170	0.1355045236
171	0.1348370753
172	0.134393255
173	0.13433183
174	0.1342038424
175	0.1340992619
176	0.1329206323
177	0.1319947781
178	0.1306088602
179	0.1293458761
180	0.1292856922
181	0.1282475607
182	0.1269658643
183	0.1269039549
184	0.1260127897
185	0.1244922976
186	0.1244398659
187	0.1243762979
188	0.1241563192
189	0.1237578171
190	0.1229393931
191	0.1228816926
192	0.1214877196
193	0.1214207087
194	0.1208325619
195	0.1207805336
196	0.1189502314
197	0.1178488425
198	0.1177985949
199	0.1172825137
200	0.1172312196
201	0.1163536303
202	0.1161023722
203	0.1150602705
204	0.1149644663
205	0.1142894304
206	0.1136530936
207	0.1128908766
208	0.1126756774
209	0.1126348824
210	0.112270814
211	0.1120363281
212	0.1109116527
