iter	Passed	Remaining
0	119	47664
1	132	26329
2	138	18284
3	150	14861
4	165	13099
5	172	11334
6	185	10425
7	198	9718
8	208	9051
9	217	8498
10	220	7781
11	230	7458
12	241	7176
13	250	6896
14	259	6673
15	269	6475
16	278	6265
17	280	5954
18	289	5803
19	297	5650
20	306	5523
21	308	5304
22	318	5213
23	322	5058
24	334	5017
25	336	4837
26	337	4666
27	342	4552
28	351	4499
29	360	4441
30	368	4383
31	375	4323
32	380	4228
33	389	4194
34	399	4161
35	406	4113
36	414	4062
37	421	4018
38	429	3976
39	432	3893
40	441	3870
41	450	3840
42	458	3807
43	466	3776
44	475	3753
45	484	3726
46	493	3706
47	495	3630
48	503	3603
49	510	3573
50	518	3550
51	528	3538
52	537	3517
53	547	3506
54	557	3495
55	566	3480
56	567	3417
57	569	3355
58	582	3366
59	590	3346
60	591	3289
61	602	3284
62	610	3264
63	618	3247
64	628	3238
65	638	3232
66	643	3199
67	652	3186
68	663	3180
69	673	3172
70	674	3124
71	683	3112
72	692	3101
73	700	3086
74	703	3049
75	712	3038
76	721	3024
77	731	3018
78	740	3008
79	741	2967
80	744	2930
81	752	2919
82	761	2909
83	763	2873
84	772	2862
85	774	2827
86	777	2796
87	786	2789
88	801	2800
89	802	2764
90	819	2782
91	830	2779
92	840	2772
93	848	2761
94	856	2751
95	866	2744
96	875	2733
97	882	2720
98	885	2693
99	894	2682
100	902	2671
101	911	2661
102	919	2651
103	926	2637
104	936	2629
105	937	2600
106	946	2592
107	948	2564
108	957	2557
109	967	2549
110	976	2542
111	985	2534
112	990	2516
113	991	2488
114	1000	2479
115	1009	2471
116	1018	2463
117	1026	2454
118	1035	2445
119	1042	2433
120	1051	2423
121	1059	2414
122	1071	2412
123	1079	2402
124	1088	2394
125	1097	2386
126	1106	2378
127	1120	2381
128	1130	2374
129	1140	2367
130	1148	2358
131	1158	2352
132	1167	2343
133	1176	2335
134	1186	2329
135	1195	2319
136	1203	2311
137	1214	2304
138	1222	2296
139	1230	2286
140	1232	2263
141	1233	2240
142	1241	2231
143	1249	2221
144	1252	2202
145	1260	2192
146	1261	2170
147	1269	2162
148	1278	2153
149	1287	2146
150	1299	2143
151	1309	2137
152	1319	2130
153	1329	2123
154	1338	2115
155	1347	2107
156	1356	2099
157	1366	2093
158	1377	2087
159	1386	2080
160	1397	2074
161	1408	2069
162	1417	2061
163	1435	2065
164	1448	2062
165	1456	2053
166	1467	2046
167	1476	2038
168	1485	2030
169	1494	2021
170	1504	2014
171	1512	2004
172	1521	1996
173	1532	1990
174	1541	1982
175	1553	1977
176	1563	1970
177	1574	1963
178	1588	1961
179	1600	1956
180	1611	1949
181	1624	1945
182	1633	1937
183	1643	1928
184	1649	1916
185	1657	1907
186	1666	1897
187	1676	1890
188	1686	1882
189	1695	1873
190	1699	1860
191	1701	1843
192	1711	1836
193	1722	1828
194	1724	1812
195	1733	1804
196	1742	1795
197	1751	1786
198	1760	1778
199	1769	1769
200	1778	1761
201	1787	1752
202	1798	1745
203	1807	1736
204	1815	1727
205	1824	1718
206	1833	1709
207	1842	1701
208	1844	1685
209	1852	1676
210	1861	1667
211	1869	1658
212	1878	1649
213	1881	1635
214	1889	1626
215	1899	1617
216	1907	1608
217	1915	1598
218	1923	1589
219	1930	1579
220	1938	1570
221	1946	1560
222	1954	1550
223	1961	1541
224	1969	1532
225	1977	1522
226	1985	1513
227	1993	1504
228	2002	1495
229	2010	1485
230	2018	1477
231	2030	1470
232	2039	1462
233	2049	1453
234	2057	1444
235	2065	1435
236	2081	1431
237	2092	1424
238	2105	1418
239	2114	1409
240	2124	1401
241	2132	1392
242	2141	1383
243	2149	1374
244	2157	1364
245	2165	1355
246	2174	1346
247	2184	1338
248	2194	1330
249	2197	1318
250	2207	1310
251	2215	1301
252	2224	1292
253	2237	1285
254	2245	1276
255	2252	1267
256	2262	1258
257	2270	1249
258	2278	1240
259	2286	1231
260	2297	1223
261	2305	1214
262	2313	1205
263	2322	1196
264	2329	1186
265	2337	1177
266	2344	1167
267	2352	1158
268	2359	1149
269	2369	1140
270	2378	1132
271	2385	1122
272	2393	1113
273	2401	1104
274	2408	1094
275	2417	1085
276	2425	1076
277	2433	1068
278	2442	1059
279	2450	1050
280	2457	1040
281	2465	1031
282	2472	1022
283	2480	1013
284	2488	1004
285	2498	995
286	2507	987
287	2517	978
288	2525	969
289	2533	961
290	2542	952
291	2551	943
292	2561	935
293	2570	926
294	2579	918
295	2589	909
296	2599	901
297	2607	892
298	2615	883
299	2623	874
300	2631	865
301	2640	856
302	2649	848
303	2658	839
304	2666	830
305	2675	821
306	2685	813
307	2695	805
308	2705	796
309	2714	788
310	2722	779
311	2730	770
312	2739	761
313	2747	752
314	2755	743
315	2764	734
316	2773	726
317	2784	717
318	2793	709
319	2805	701
320	2815	692
321	2822	683
322	2831	674
323	2840	666
324	2849	657
325	2860	649
326	2870	640
327	2880	632
328	2890	623
329	2899	615
330	2908	606
331	2919	598
332	2929	589
333	2940	580
334	2954	573
335	2973	566
336	3011	562
337	3083	565
338	3150	566
339	3170	559
340	3193	552
341	3219	545
342	3266	542
343	3318	540
344	3361	535
345	3405	531
346	3436	524
347	3475	519
348	3489	509
349	3505	500
350	3528	492
351	3554	484
352	3588	477
353	3605	468
354	3649	462
355	3660	452
356	3669	442
357	3680	431
358	3689	421
359	3699	411
360	3708	400
361	3718	390
362	3727	379
363	3740	369
364	3750	359
365	3759	349
366	3771	339
367	3783	328
368	3793	318
369	3802	308
370	3811	297
