iter	Passed	Remaining
0	157	125595
1	167	66909
2	178	47371
3	187	37400
4	196	31248
5	205	27130
6	214	24284
7	222	21986
8	231	20331
9	242	19119
10	249	17889
11	259	17024
12	271	16450
13	287	16117
14	299	15663
15	311	15282
16	331	15259
17	342	14882
18	355	14632
19	369	14401
20	385	14297
21	401	14200
22	411	13893
23	420	13591
24	430	13346
25	439	13077
26	449	12873
27	457	12624
28	467	12427
29	483	12421
30	495	12301
31	506	12146
32	514	11968
33	527	11883
34	540	11824
35	553	11740
36	563	11612
37	570	11433
38	579	11304
39	588	11181
40	601	11142
41	613	11073
42	623	10969
43	632	10865
44	643	10797
45	650	10663
46	660	10585
47	672	10528
48	675	10359
49	691	10374
50	700	10293
51	713	10270
52	722	10186
53	733	10138
54	742	10052
55	753	10004
56	764	9959
57	774	9905
58	787	9895
59	801	9885
60	818	9913
61	839	9992
62	852	9974
63	877	10085
64	895	10127
65	904	10058
66	916	10029
67	940	10127
68	959	10168
69	972	10137
70	995	10224
71	1008	10196
72	1030	10260
73	1043	10240
74	1060	10255
75	1073	10227
76	1093	10268
77	1110	10279
78	1128	10297
79	1145	10309
80	1158	10284
81	1167	10223
82	1184	10232
83	1195	10194
84	1208	10169
85	1229	10207
86	1248	10231
87	1262	10216
88	1276	10199
89	1293	10202
90	1306	10175
91	1323	10182992	1347	10249693	1369	10297	94	1385	10278
95	1398	10255
96	1409	10214
97	1423	10193
98	1439	10193
99	1456	10192
100	1471	10185
101	1485	10167
102	1498	10139
103	1514	10136
104	1528	10115
105	1540	10083
106	1557	10088
107	1573	10079
108	1587	10062
109	1596	10016
110	1603	9955
111	1614	9917
112	1626	9891
113	1640	9871
114	1651	9837
115	1663	9807
116	1675	9781
117	1687	9752
118	1704	9756
119	1715	9720
120	1723	9669
121	1732	9630
122	1743	9595
123	1752	9554
124	1760	9509
125	1777	9508
126	1787	9470
127	1799	9448
128	1809	9413
129	1827	9419
130	1850	9452
131	1863	9431
132	1878	9418
133	1894	9414
134	1906	9390
135	1918	9369
136	1932	9352
137	1948	9346
138	1963	9339
139	1984	9355
140	1995	9325
141	2007	9302
142	2016	9263
143	2029	9246
144	2040	9219
